Region	Product	SalesPerson	UnitsSold	UnitPrice	TotalSales	
East	Printer	Evan	9	904.26	8138.34	
West	Mouse	Diana	18	1368.88	24639.84	
North	Monitor	Alice	15	1497.35	22460.25	
East	Printer	Bob	10	1380.93	13809.3	
West	Tablet	Diana	10	1005.16	10051.6	
West	Tablet	Bob	9	1115.44	10038.96	
East	Camera	Bob	11	839.57	9235.27	
North	Mouse	Alice	15	1098	16470	
West	Mouse	Diana	9	67.93	611.37	
East	Smartphone	Evan	5	145.8	729	
South	Smartphone	Alice	16	805.67	12890.72	
West	Laptop	Alice	17	81.53	1386.01	
South	Printer	Bob	12	148.7	1784.4	
West	Laptop	Alice	14	744.12	10417.68	
South	Camera	Charlie	15	169.83	2547.45	
South	Keyboard	Diana	4	1123.36	4493.44	
East	Monitor	Bob	6	851.02	5106.12	
East	Smartphone	Evan	11	1061.44	11675.84	
South	Camera	Charlie	4	513.43	2053.72	
North	Monitor	Charlie	16	202.03	3232.48	
North	Mouse	Diana	3	1407.68	4223.04	
North	Smartphone	Diana	9	436.14	3925.26	
West	Monitor	Bob	15	65.25	978.75	
East	Keyboard	Bob	15	84.4	1266	
South	Mouse	Evan	14	206.63	2892.82	
West	Tablet	Diana	20	283.46	5669.2	
North	Camera	Charlie	6	1497.75	8986.5	
East	Smartphone	Charlie	4	117.98	471.92	
West	Mouse	Evan	2	775.52	1551.04	
South	Mouse	Alice	5	483.48	2417.4	
East	Printer	Alice	5	80.63	403.15	
South	Smartphone	Evan	20	671.97	13439.4	
East	Laptop	Alice	19	1428.74	27146.06	
South	Camera	Alice	1	1428.83	1428.83	
North	Printer	Charlie	6	87.22	523.32	
South	Monitor	Alice	5	917.1	4585.5	
North	Camera	Bob	18	1356.06	24409.08	
South	Printer	Evan	15	345.96	5189.4	
South	Smartphone	Bob	9	1062.08	9558.72	
East	Printer	Diana	17	1290.61	21940.37	
West	Camera	Alice	6	974.32	5845.92	
North	Mouse	Charlie	10	1364.6	13646	
