Employee ID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age
3427,20-Sep-19,Production Technician I,CCDR,Active,Contract,Zone C,Temporary,Production       ,Finance & Accounting,07-10-1969,MA,Female,White,Widowed,Fully Meets,4,14-01-2023,1,2,3,15-Jul-23,Leadership Development,Internal,Failed,2,606.11,50
3428,11-Feb-23,Production Technician I,EW,Active,Contract,Zone A,Part-Time,Production       ,Aerial,30-08-1965,MA,Male,Hispanic,Widowed,Fully Meets,3,09-09-2022,2,1,5,12-Sep-22,Customer Service,External,Incomplete,4,673.02,58
3429,10-Dec-18,Area Sales Manager,PL,Active,Full-Time,Zone B,Part-Time,Sales,General - Sga,06-10-1991,MA,Male,Hispanic,Widowed,Fully Meets,4,27-05-2023,1,2,1,13-Aug-22,Leadership Development,External,Failed,2,413.28,27
3430,21-Jun-21,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,04-04-1998,ND,Male,Other,Single,Fully Meets,2,16-06-2023,5,5,4,15-Dec-22,Project Management,External,Completed,3,663.78,23
3431,29-Jun-19,Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Sales,General - Con,29-08-1969,FL,Female,Other,Married,Fully Meets,3,25-11-2022,2,5,3,13-Jul-23,Technical Skills,External,Failed,5,399.03,50
3432,17-Jan-20,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Sales,Field Operations,03-04-1949,CT,Male,Black,Married,Fully Meets,3,12-12-2022,2,3,5,18-Apr-23,Project Management,Internal,Passed,2,820.33,71
3433,06-Apr-22,Area Sales Manager,WBL,Active,Full-Time,Zone B,Temporary,Sales,General - Eng,01-07-1942,CA,Female,Hispanic,Divorced,Exceeds,4,25-03-2023,1,5,2,06-Aug-22,Customer Service,External,Passed,5,295.08,80
3434,06-Nov-20,Area Sales Manager,CCDR,Active,Contract,Zone C,Full-Time,Sales,Engineers,07-03-1957,OR,Female,White,Divorced,Fully Meets,2,21-04-2023,1,4,2,07-Oct-22,Leadership Development,Internal,Passed,3,790.15,63
3435,18-Aug-18,Area Sales Manager,NEL,Active,Contract,Zone B,Part-Time,Sales,Executive,15-05-1974,TX,Male,Black,Widowed,Exceeds,3,09-12-2022,4,3,3,19-Jul-23,Customer Service,Internal,Passed,3,798.4,44
3436,21-Jan-22,Area Sales Manager,BPC,Active,Part-Time,Zone B,Temporary,Sales,Engineers,11-11-1949,TX,Male,Asian,Widowed,Fully Meets,5,30-07-2023,5,5,2,09-Apr-23,Leadership Development,Internal,Failed,5,192.61,73
